name,class,signature,capacity_code,flash_size,flash_guess,flash_match,page_size,page_guess,page_match
ATmega329PA,avr,1E950B,5,32768,32768,True,128,128,True
ATmega32A,avr,1E9502,5,32768,32768,True,128,128,True
ATmega32C1,avr,1E9586,5,32768,32768,True,128,128,True
ATmega32HVB,avr,1E9510,5,32768,32768,True,128,128,True
ATmega32HVBrevB,avr,1E9510,5,32768,32768,True,128,128,True
ATmega32HVE2,avr,1E9513,5,32768,32768,True,128,128,True
ATmega32M1,avr,1E9584,5,32768,32768,True,128,128,True
ATmega32U2,avr,1E958A,5,32768,32768,True,128,128,True
ATmega32U4,avr,1E9587,5,32768,32768,True,128,128,True
ATmega48,avr,1E9205,2,4096,4096,True,64,64,True
ATmega48A,avr,1E9205,2,4096,4096,True,64,64,True
ATmega48P,avr,1E920A,2,4096,4096,True,64,64,True
ATmega48PA,avr,1E920A,2,4096,4096,True,64,64,True
ATmega48PB,avr,1E9210,2,4096,4096,True,64,64,True
ATmega64,avr,1E9602,6,65536,65536,True,256,256,True
ATmega640,avr,1E9608,6,65536,65536,True,256,256,True
ATmega644,avr,1E9609,6,65536,65536,True,256,256,True
ATmega644A,avr,1E9609,6,65536,65536,True,256,256,True
ATmega644P,avr,1E960A,6,65536,65536,True,256,256,True
ATmega644PA,avr,1E960A,6,65536,65536,True,256,256,True
ATmega644RFR2,avr,1EA603,6,65536,65536,True,256,256,True
ATmega645,avr,1E9605,6,65536,65536,True,256,256,True
ATmega6450,avr,1E9606,6,65536,65536,True,256,256,True
ATmega6450A,avr,1E9606,6,65536,65536,True,256,256,True
ATmega6450P,avr,1E960E,6,65536,65536,True,256,256,True
ATmega645A,avr,1E9605,6,65536,65536,True,256,256,True
ATmega645P,avr,1E960D,6,65536,65536,True,256,256,True
ATmega649,avr,1E9603,6,65536,65536,True,256,256,True
ATmega6490,avr,1E9604,6,65536,65536,True,256,256,True
ATmega6490A,avr,1E9604,6,65536,65536,True,256,256,True
ATmega6490P,avr,1E960C,6,65536,65536,True,256,256,True
ATmega649A,avr,1E9603,6,65536,65536,True,256,256,True
ATmega649P,avr,1E960B,6,65536,65536,True,256,256,True
ATmega64A,avr,1E9602,6,65536,65536,True,256,256,True
ATmega64C1,avr,1E9686,6,65536,65536,True,256,256,True
ATmega64HVE2,avr,1E9610,6,65536,65536,True,128,256,False
ATmega64M1,avr,1E9684,6,65536,65536,True,256,256,True
