id,name,avrdude_id,vendor,class,family,signature,flash_size,flash_page_size,flash_paged,eeprom_size,eeprom_page_size,chip_erase_delay_us,fuse_count,lock_mask,progisp_match,microchip_atdf_match,metadata_status,qt_backend_status,blockers
ata6617c,ATA6617C,a6617c,Microchip/Atmel,avr,ATA automotive,1E9487,16384,128,True,512,4,4000,3,3,False,False,avrdude-selected,supported,
ata664251,ATA664251,a664251,Microchip/Atmel,avr,ATA automotive,1E9487,16384,128,True,512,4,4000,3,3,False,False,avrdude-selected,supported,
atmega103,ATmega103,m103,Microchip/Atmel,avr,ATmega,1E9701,131072,256,True,4096,,112000,1,6,True,False,avrdude-selected+progisp-disagrees,not-yet-supported,current backend lacks byte-write EEPROM metadata
atmega128,ATmega128,m128,Microchip/Atmel,avr,ATmega,1E9702,131072,256,True,4096,8,10000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega1280,ATmega1280,m1280,Microchip/Atmel,avr,ATmega,1E9703,131072,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega1281,ATmega1281,m1281,Microchip/Atmel,avr,ATmega,1E9704,131072,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega1284,ATmega1284,m1284,Microchip/Atmel,avr,ATmega,1E9706,131072,256,True,4096,8,55000,3,63,False,False,avrdude-selected,supported,
atmega1284p,ATmega1284P,m1284p,Microchip/Atmel,avr,ATmega,1E9705,131072,256,True,4096,8,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega1284rfr2,ATmega1284RFR2,m1284rfr2,Microchip/Atmel,avr,ATmega,1EA703,131072,256,True,4096,8,18500,3,63,False,False,avrdude-selected,supported,
atmega128a,ATmega128A,m128a,Microchip/Atmel,avr,ATmega,1E9702,131072,256,True,4096,8,10000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega128rfa1,ATmega128RFA1,m128rfa1,Microchip/Atmel,avr,ATmega,1EA701,131072,256,True,4096,8,18500,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega128rfr2,ATmega128RFR2,m128rfr2,Microchip/Atmel,avr,ATmega,1EA702,131072,256,True,4096,8,18500,3,63,False,False,avrdude-selected,supported,
atmega16,ATmega16,m16,Microchip/Atmel,avr,ATmega,1E9403,16384,128,True,512,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega161,ATmega161,m161,Microchip/Atmel,avr,ATmega,1E9401,16384,128,True,512,,28000,1,63,True,False,avrdude-selected+progisp-disagrees,not-yet-supported,current backend lacks byte-write EEPROM metadata
atmega162,ATmega162,m162,Microchip/Atmel,avr,ATmega,1E9404,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega163,ATmega163,m163,Microchip/Atmel,avr,ATmega,1E9402,16384,128,True,512,,32000,2,63,True,False,avrdude-selected+progisp-disagrees,not-yet-supported,current backend lacks byte-write EEPROM metadata
atmega164a,ATmega164A,m164a,Microchip/Atmel,avr,ATmega,1E940F,16384,128,True,512,4,55000,3,63,False,False,avrdude-selected,supported,
atmega164p,ATmega164P,m164p,Microchip/Atmel,avr,ATmega,1E940A,16384,128,True,512,4,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega164pa,ATmega164PA,m164pa,Microchip/Atmel,avr,ATmega,1E940A,16384,128,True,512,4,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega165,ATmega165,m165,Microchip/Atmel,avr,ATmega,1E9407,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega165a,ATmega165A,m165a,Microchip/Atmel,avr,ATmega,1E9410,16384,128,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
atmega165p,ATmega165P,m165p,Microchip/Atmel,avr,ATmega,1E9407,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega165pa,ATmega165PA,m165pa,Microchip/Atmel,avr,ATmega,1E9407,16384,128,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
atmega168,ATmega168,m168,Microchip/Atmel,avr,ATmega,1E9406,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega168a,ATmega168A,m168a,Microchip/Atmel,avr,ATmega,1E9406,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega168p,ATmega168P,m168p,Microchip/Atmel,avr,ATmega,1E940B,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega168pa,ATmega168PA,m168pa,Microchip/Atmel,avr,ATmega,1E940B,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega168pb,ATmega168PB,m168pb,Microchip/Atmel,avr,ATmega,1E9415,16384,128,True,512,4,10500,3,63,False,False,avrdude-selected,supported,
atmega169,ATmega169,m169,Microchip/Atmel,avr,ATmega,1E9405,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega169a,ATmega169A,m169a,Microchip/Atmel,avr,ATmega,1E9411,16384,128,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
atmega169p,ATmega169P,m169p,Microchip/Atmel,avr,ATmega,1E9405,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega169pa,ATmega169PA,m169pa,Microchip/Atmel,avr,ATmega,1E9405,16384,128,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
atmega16a,ATmega16A,m16a,Microchip/Atmel,avr,ATmega,1E9403,16384,128,True,512,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega16hva,ATmega16HVA,m16hva,Microchip/Atmel,avr,ATmega,1E940C,16384,128,True,256,4,4000,1,3,True,False,avrdude-selected+progisp-disagrees,supported,
atmega16hvb,ATmega16HVB,m16hvb,Microchip/Atmel,avr,ATmega,1E940D,16384,128,True,512,4,4000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega16hvbrevb,ATmega16HVBrevB,m16hvbrevb,Microchip/Atmel,avr,ATmega,1E940D,16384,128,True,512,4,4000,2,63,False,False,avrdude-selected,supported,
atmega16m1,ATmega16M1,m16m1,Microchip/Atmel,avr,ATmega,1E9484,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega16u2,ATmega16U2,m16u2,Microchip/Atmel,avr,ATmega,1E9489,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega16u4,ATmega16U4,m16u4,Microchip/Atmel,avr,ATmega,1E9488,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega2560,ATmega2560,m2560,Microchip/Atmel,avr,ATmega,1E9801,262144,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega2561,ATmega2561,m2561,Microchip/Atmel,avr,ATmega,1E9802,262144,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega2564rfr2,ATmega2564RFR2,m2564rfr2,Microchip/Atmel,avr,ATmega,1EA803,262144,256,True,8192,8,18500,3,63,False,False,avrdude-selected,supported,
atmega256rfr2,ATmega256RFR2,m256rfr2,Microchip/Atmel,avr,ATmega,1EA802,262144,256,True,8192,8,18500,3,63,False,False,avrdude-selected,supported,
atmega32,ATmega32,m32,Microchip/Atmel,avr,ATmega,1E9502,32768,128,True,1024,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega323,ATmega323,m323,Microchip/Atmel,avr,ATmega,1E9501,32768,128,True,1024,1,32000,2,63,True,False,official-datasheet-selected+progisp-cross-check+historical-avrdude-signature,supported,
atmega324a,ATmega324A,m324a,Microchip/Atmel,avr,ATmega,1E9515,32768,128,True,1024,4,55000,3,63,False,False,avrdude-selected,supported,
atmega324p,ATmega324P,m324p,Microchip/Atmel,avr,ATmega,1E9508,32768,128,True,1024,4,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega324pa,ATmega324PA,m324pa,Microchip/Atmel,avr,ATmega,1E9511,32768,128,True,1024,4,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega324pb,ATmega324PB,m324pb,Microchip/Atmel,avr,ATmega,1E9517,32768,128,True,1024,4,55000,3,63,False,False,avrdude-selected,supported,
atmega325,ATmega325,m325,Microchip/Atmel,avr,ATmega,1E9505,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega3250,ATmega3250,m3250,Microchip/Atmel,avr,ATmega,1E9506,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3250a,ATmega3250A,m3250a,Microchip/Atmel,avr,ATmega,1E9506,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3250p,ATmega3250P,m3250p,Microchip/Atmel,avr,ATmega,1E950E,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
