name,signature,avrdude,progisp,microchip_atdf,signature_flash_check,signature_page_check,app_ready
ATmega6490A,1E9604,True,True,False,True,True,True
ATmega6490P,1E960C,True,False,False,True,True,True
ATmega649A,1E9603,True,True,False,True,True,True
ATmega649P,1E960B,True,False,False,True,True,True
ATmega64A,1E9602,True,True,False,True,True,True
ATmega64C1,1E9686,True,True,False,True,True,True
ATmega64HVE2,1E9610,True,False,False,True,False,True
ATmega64M1,1E9684,True,True,False,True,True,True
ATmega64RFR2,1EA602,True,False,False,True,True,True
ATmega8,1E9307,True,True,False,True,True,True
ATmega8515,1E9306,True,True,False,True,True,False
ATmega8535,1E9308,True,True,False,True,True,False
ATmega88,1E930A,True,True,False,True,True,True
ATmega88A,1E930A,True,True,False,True,True,True
ATmega88P,1E930F,True,True,False,True,True,True
ATmega88PA,1E930F,True,True,False,True,True,True
ATmega88PB,1E9316,True,False,False,True,True,True
ATmega8A,1E9307,True,True,False,True,True,True
ATmega8HVA,1E9310,True,True,False,True,False,True
ATmega8U2,1E9389,True,True,False,True,False,True
ATmegaS128,1E9702,True,False,False,True,True,True
ATmegaS64M1,1E9684,True,False,False,True,True,True
ATtiny12,1E9005,True,True,False,True,,False
ATtiny13,1E9007,True,True,False,True,True,True
ATtiny13A,1E9007,True,True,False,True,True,True
ATtiny15,1E9006,True,True,False,True,,False
ATtiny1634,1E9412,True,False,False,True,False,True
ATtiny1634R,1E9412,True,False,False,True,False,True
ATtiny167,1E9487,True,True,False,True,True,True
ATtiny22,1E9106,True,True,False,True,,False
ATtiny2313,1E910A,True,True,False,True,True,True
ATtiny2313A,1E910A,True,True,False,True,True,True
ATtiny24,1E910B,True,True,False,True,True,True
ATtiny24A,1E910B,True,True,False,True,True,True
ATtiny25,1E9108,True,True,False,True,True,True
ATtiny26,1E9109,True,True,False,True,True,False
ATtiny261,1E910C,True,True,False,True,True,True
ATtiny261A,1E910C,True,True,False,True,True,True
ATtiny4313,1E920D,True,False,False,True,True,True
ATtiny43U,1E920C,True,True,False,True,True,True
ATtiny44,1E9207,True,True,False,True,True,True
ATtiny441,1E9215,True,False,False,True,False,True
